"MEDV","log_MEDV","CRIM","log_CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","LON","LAT","dist_boston_center","north_south","east_west","high_LSTAT","high_TAX","spatial_cluster"
25,3.2188758248682,0.1265,0.119115480890162,25,5.13,"No",0.453,6.762,43.4,7.9809,"8",284,19.7,395.58,9.5,-70.8821323333333,42.5503449666667,0.259692039386604,"North","East","0","0","1"
19.6,2.97552956623647,0.10328,0.0982875611839452,25,5.13,"No",0.453,5.927,47.2,6.932,"8",284,19.7,396.9,9.22,-70.8736323333333,42.5548449666667,0.268793062325111,"North","East","0","0","1"
23.3,3.14845336057165,0.15445,0.143624040082875,25,5.13,"No",0.453,6.145,29.2,7.8148,"8",284,19.7,390.68,6.86,-70.8596323333333,42.5618449666667,0.283564163028596,"North","East","0","0","1"
22.7,3.12236492448736,5.20177,1.82483473517925,0,18.1,"Yes",0.77,6.127,83.4,2.7227,"24",666,20.2,395.43,11.48,-71.1271862,42.3607913,0.0682896991216716,"North","West","1","1","1"
22.6,3.11794990627824,4.26131,1.66038004517162,0,18.1,"No",0.77,6.112,81.3,2.5091,"24",666,20.2,390.74,12.67,-71.1391862,42.3555913,0.0804126997813671,"North","West","1","1","1"
25,3.2188758248682,4.54192,1.71234101111466,0,18.1,"No",0.77,6.398,88,2.5182,"24",666,20.2,374.56,7.79,-71.1448862,42.3535913,0.0862321852102158,"North","West","0","1","1"
21.7,3.07731226054641,3.8497,1.57891684736615,0,18.1,"Yes",0.77,6.395,91,2.5052,"24",666,20.2,391.34,13.27,-71.1371862,42.3505913,0.0788615526484808,"North","West","1","1","1"
17.8,2.87919845729804,8.98296,2.30087963953468,0,18.1,"Yes",0.77,6.212,97.4,2.1222,"24",666,20.2,377.73,17.6,-71.1346862,42.3468913,0.0769286543891779,"North","West","1","1","1"
20.8,3.03495298670727,3.67822,1.5429176957009,0,18.1,"No",0.77,5.362,96.2,2.1036,"24",666,20.2,380.79,10.19,-71.1306862,42.3535913,0.0720806609717807,"North","West","0","1","1"
16.8,2.82137888640921,4.22239,1.65295515151733,0,18.1,"Yes",0.77,5.803,89,1.9047,"24",666,20.2,353.04,14.64,-71.1251862,42.3515913,0.0668300702238838,"North","West","1","1","1"
19.9,2.99071973173045,3.83684,1.57626161493939,0,18.1,"No",0.77,6.251,91.1,2.2955,"24",666,20.2,350.65,14.19,-71.1306862,42.3585913,0.0718020521024903,"North","West","1","1","1"
27.5,3.31418600467253,4.55587,1.71485502649021,0,18.1,"No",0.718,3.561,87.9,1.6132,"24",666,20.2,354.7,7.12,-71.0864757,42.3513148,0.0289413021395002,"North","East","0","1","1"
50,3.91202300542815,4.89822,1.77465061047735,0,18.1,"No",0.631,4.97,100,1.3325,"24",666,20.2,375.52,3.26,-71.0869757,42.3490148,0.0301848735218469,"North","East","0","1","1"
50,3.91202300542815,5.66998,1.89761686142229,0,18.1,"Yes",0.631,6.683,96.8,1.3567,"24",666,20.2,375.33,3.73,-71.0814757,42.3467148,0.026245491222876,"North","East","0","1","1"
21.9,3.08648663682246,3.69695,1.54691336189559,0,18.1,"No",0.718,4.963,91.4,1.7523,"24",666,20.2,316.03,14,-71.0782757,42.3485148,0.0225750882507626,"North","East","1","1","1"
23.1,3.13983261752775,13.5222,2.6756785130709,0,18.1,"No",0.631,3.863,100,1.5106,"24",666,20.2,131.42,13.33,-71.0754757,42.3520148,0.0184424588797147,"North","East","1","1","1"
21.9,3.08648663682246,3.47428,1.49834544492727,0,18.1,"Yes",0.718,8.78,82.9,1.9047,"24",666,20.2,354.55,5.29,-71.0771757,42.3540148,0.0192621616006632,"North","East","0","1","1"
50,3.91202300542815,6.53876,2.02005771226203,0,18.1,"Yes",0.631,7.016,97.5,1.2024,"24",666,20.2,392.05,2.96,-71.0717389,42.3569999,0.0132078754241461,"North","East","0","1","1"
50,3.91202300542815,8.26725,2.22648667968752,0,18.1,"Yes",0.668,5.875,89.6,1.1296,"24",666,20.2,347.88,8.88,-71.0712389,42.3585999,0.0124297527417105,"North","East","0","1","1"
50,3.91202300542815,9.2323,2.3255493836278,0,18.1,"No",0.631,6.216,100,1.1691,"24",666,20.2,366.15,9.53,-71.0692389,42.3607999,0.0103625630622872,"North","East","0","1","1"
10.4,2.34180580614733,88.9762,4.49954519091422,0,18.1,"No",0.671,6.968,91.9,1.4165,"24",666,20.2,396.9,17.21,-71.0577964333333,42.3757398333333,0.0156787195294186,"North","East","1","1","1"
10.2,2.32238772029023,17.8667,2.93739846332392,0,18.1,"No",0.671,6.223,100,1.3861,"24",666,20.2,393.74,21.78,-71.0550964333333,42.3777398333333,0.0180452442326375,"North","East","1","1","1"
15,2.70805020110221,19.6091,3.02573272582662,0,18.1,"No",0.671,7.313,97.9,1.3163,"24",666,20.2,396.9,13.44,-71.0590964333333,42.3782398333333,0.0181408968746217,"North","East","1","1","1"
13.3,2.58776403522771,9.82349,2.38171877224179,0,18.1,"No",0.671,6.794,98.8,1.358,"24",666,20.2,396.9,21.24,-71.0610964333333,42.3765398333333,0.0165859108708472,"North","East","1","1","1"
13.1,2.57261223020711,23.6482,3.20470387551007,0,18.1,"No",0.671,6.38,96.2,1.3861,"24",666,20.2,396.9,23.69,-71.0610964333333,42.3792398333333,0.0192654493696773,"North","East","1","1","1"
13.9,2.63188884013665,15.288,2.79042864036811,0,18.1,"No",0.671,6.649,93.3,1.3449,"24",666,20.2,363.02,23.24,-71.0670964333333,42.3817398333333,0.0231400930439408,"North","East","1","1","1"
20,2.99573227355399,6.80117,2.05427372244667,0,18.1,"No",0.713,6.081,84.4,2.7175,"24",666,20.2,396.9,14.7,-71.0744413636364,42.3057395909091,0.0565383768798778,"South","East","1","1","1"
12.7,2.54160199346455,4.66883,1.73498274724038,0,18.1,"No",0.713,5.976,87.9,2.5806,"24",666,20.2,10.48,19.01,-71.0742413636364,42.3022395909091,0.0598597057994172,"South","East","1","1","1"
19,2.94443897916644,3.77498,1.56338978544225,0,18.1,"No",0.655,5.952,84.7,2.8715,"24",666,20.2,22.01,17.15,-71.0702413636364,42.3012395909091,0.0599430920747683,"South","East","1","1","1"
13.5,2.60268968544438,8.20058,2.2192665255461,0,18.1,"No",0.713,5.936,80.3,2.7792,"24",666,20.2,3.5,16.94,-71.0657413636364,42.3012395909091,0.0592566621972331,"South","East","1","1","1"
14.9,2.70136121295141,7.75223,2.16930852504182,0,18.1,"No",0.713,6.301,83.7,2.7831,"24",666,20.2,272.21,16.23,-71.0657413636364,42.3050395909091,0.055483807598842,"South","East","1","1","1"
16.4,2.79728133483015,4.81213,1.75994711297337,0,18.1,"No",0.713,6.701,90,2.5975,"24",666,20.2,255.23,16.42,-71.0577413636364,42.3067395909091,0.053372986580988,"South","East","1","1","1"
19.5,2.9704144655697,6.65492,2.03534857836921,0,18.1,"No",0.713,6.317,83,2.7344,"24",666,20.2,396.9,13.99,-71.0537413636364,42.3017395909091,0.0585879584760635,"South","East","1","1","1"
21.4,3.06339092202781,7.83932,2.1792099506139,0,18.1,"No",0.655,6.209,65.4,2.9634,"24",666,20.2,396.9,13.22,-71.0585413636364,42.2997395909091,0.0603614745153405,"South","East","1","1","1"
19.9,2.99071973173045,3.1636,1.42638008465918,0,18.1,"No",0.655,5.759,48.2,3.0665,"24",666,20.2,334.4,14.13,-71.0677413636364,42.2962395909091,0.0644695397859418,"South","East","1","1","1"
20.2,3.00568260440716,5.82115,1.92002807934121,0,18.1,"No",0.713,6.513,89.9,2.8016,"24",666,20.2,393.82,10.29,-71.0777413636364,42.2972395909091,0.0656233800924415,"South","East","0","1","1"
17.7,2.87356463957978,3.69311,1.5460954757023,0,18.1,"No",0.713,6.376,88.4,2.5671,"24",666,20.2,391.43,14.65,-71.0777413636364,42.3007395909091,0.0622788499502057,"South","East","1","1","1"
17.2,2.84490938381941,7.40389,2.12869469389186,0,18.1,"No",0.597,5.617,97.9,1.4547,"24",666,20.2,314.64,26.4,-71.0514678,42.3684339,0.0111665342004628,"North","East","1","1","1"
27.5,3.31418600467253,14.4383,2.73685143490784,0,18.1,"No",0.597,6.852,100,1.4655,"24",666,20.2,179.36,19.78,-71.0551678,42.3576339,0.00447336182866046,"North","East","1","1","1"
27.9,3.32862668882732,11.9511,2.56118072662311,0,18.1,"No",0.659,5.608,100,1.2852,"24",666,20.2,332.09,12.13,-71.0561678,42.3536339,0.00701964144740438,"North","East","1","1","1"
11.9,2.47653840011748,20.7162,3.07805852580002,0,18.1,"No",0.659,4.138,100,1.1781,"24",666,20.2,370.22,23.34,-71.0579678,42.3546339,0.00554501993233666,"North","East","1","1","1"
17.2,2.84490938381941,14.0507,2.71142450174116,0,18.1,"No",0.597,6.657,100,1.5275,"24",666,20.2,35.05,21.22,-71.0586678,42.3561339,0.00397289139670373,"North","East","1","1","1"
17.9,2.88480071284671,18.811,2.98623733899219,0,18.1,"No",0.597,4.628,100,1.5539,"24",666,20.2,28.79,34.37,-71.0611678,42.3534339,0.00704129292459706,"North","East","1","1","1"
16.3,2.79116510781272,28.6558,3.38965772182785,0,18.1,"No",0.597,5.155,100,1.5894,"24",666,20.2,210.97,20.08,-71.0594678,42.3516339,0.00848511909462546,"North","East","1","1","1"
15,2.70805020110221,51.1358,3.95385185290181,0,18.1,"No",0.597,5.757,100,1.413,"24",666,20.2,2.6,10.11,-71.0575678,42.3501339,0.0100547454492898,"North","East","0","1","1"
10.5,2.35137525716348,24.3938,3.23450504974039,0,18.1,"No",0.7,4.652,100,1.4672,"24",666,20.2,396.9,28.28,-71.0591517666667,42.3730053666667,0.012907822250694,"North","East","1","1","1"
11.5,2.4423470353692,8.15174,2.21394402514299,0,18.1,"No",0.7,5.39,98.9,1.7281,"24",666,20.2,396.9,20.85,-71.0411517666667,42.3727053666667,0.0217691307877855,"North","East","1","1","1"
11.3,2.42480272571829,9.18702,2.32111436089254,0,18.1,"No",0.7,5.536,100,1.5804,"24",666,20.2,396.9,23.6,-71.0396517666667,42.3710053666667,0.0221228729732064,"North","East","1","1","1"
12.3,2.50959926237837,7.99248,2.19638867250955,0,18.1,"No",0.7,5.52,100,1.5331,"24",666,20.2,396.9,24.56,-71.0426517666667,42.3675053666667,0.0178562185784695,"North","East","1","1","1"
8.8,2.17475172148416,20.0849,3.04855714447919,0,18.1,"No",0.7,4.368,91.2,1.4395,"24",666,20.2,285.83,30.63,-71.0416517666667,42.3653053666667,0.0180165866704974,"North","East","1","1","1"
10.9,2.3887627892351,15.8744,2.82579768057092,0,18.1,"No",0.671,6.545,99.1,1.5192,"24",666,20.2,396.9,21.08,-71.0409517666667,42.3671053666667,0.0192669209247887,"North","East","1","1","1"
7.2,1.97408102602201,16.8118,2.87986115901106,0,18.1,"No",0.7,5.277,98.1,1.4261,"24",666,20.2,396.9,30.81,-71.0396517666667,42.3688053666667,0.0211252904182498,"North","East","1","1","1"
10.2,2.32238772029023,14.3337,2.73005302057855,0,18.1,"No",0.7,4.88,100,1.5895,"24",666,20.2,372.92,30.62,-71.0376517666667,42.3695053666667,0.0232367885458029,"North","East","1","1","1"
9.7,2.27212588550934,11.5779,2.53194130570014,0,18.1,"No",0.7,5.036,97,1.77,"24",666,20.2,396.9,25.68,-71.0349517666667,42.3721053666667,0.0267889288436209,"North","East","1","1","1"
23.2,3.14415227867226,5.29305,1.83944584984932,0,18.1,"No",0.7,6.051,82.5,2.1678,"24",666,20.2,378.38,18.76,-71.0290517666667,42.3740053666667,0.0329283503269595,"North","East","1","1","1"
7.4,2.00148000021012,22.5971,3.1611238231251,0,18.1,"No",0.7,5,89.5,1.5184,"24",666,20.2,396.9,31.99,-71.0216517666667,42.3770053666667,0.040905040136742,"North","East","1","1","1"
15.1,2.71469474382088,6.96215,2.07469906388823,0,18.1,"No",0.7,5.713,97,1.9265,"24",666,20.2,394.43,17.11,-71.0381517666667,42.3645053666667,0.0212107624078517,"North","East","1","1","1"
29.8,3.39450839351136,4.64689,1.7311049511314,0,18.1,"No",0.614,6.98,67.6,2.5329,"24",666,20.2,374.68,11.66,-71.1200875714286,42.2901524714286,0.0929331784164218,"South","West","1","1","1"
13.8,2.62466859216316,8.05579,2.20340433214602,0,18.1,"No",0.584,5.427,95.4,2.4298,"24",666,20.2,352.58,18.14,-71.1018875714286,42.2891524714286,0.0829547051572209,"South","West","1","1","1"
13.3,2.58776403522771,6.39312,2.00054983801364,0,18.1,"No",0.584,6.162,97.4,2.206,"24",666,20.2,302.76,24.1,-71.0979875714286,42.2940524714286,0.0767470798830709,"South","West","1","1","1"
12,2.484906649788,15.0234,2.77405015382823,0,18.1,"No",0.614,5.304,97.3,2.1007,"24",666,20.2,349.48,24.91,-71.1033875714286,42.2941524714286,0.0795501133644191,"South","West","1","1","1"
14.6,2.68102152871429,10.233,2.41885587465943,0,18.1,"No",0.614,6.185,96.7,2.1705,"24",666,20.2,379.7,18.03,-71.0996875714286,42.2981524714286,0.0741695508894974,"South","West","1","1","1"
21.4,3.06339092202781,14.3337,2.73005302057855,0,18.1,"No",0.614,6.229,88,1.9512,"24",666,20.2,383.32,13.11,-71.1026875714286,42.2974524714286,0.0764333974628989,"South","West","1","1","1"
16.7,2.81540871942271,4.87141,1.77009480942484,0,18.1,"No",0.614,6.484,93.6,2.3053,"24",666,20.2,396.21,18.68,-71.1138875714286,42.3006524714286,0.0809792668827229,"South","West","1","1","1"
21.2,3.05400118167797,3.67367,1.54194463028652,0,18.1,"No",0.583,6.312,51.9,3.9917,"24",666,20.2,388.62,10.58,-71.1314809,42.2566539,0.126368835754788,"South","West","0","1","1"
20.6,3.02529107579554,4.83567,1.76398908348261,0,18.1,"No",0.583,5.905,53.2,3.1523,"24",666,20.2,388.22,11.45,-71.1260809,42.2481539,0.130557277200555,"South","West","1","1","1"
19.1,2.94968833505258,5.69175,1.9008754243873,0,18.1,"No",0.583,6.114,79.8,3.5459,"24",666,20.2,392.68,14.98,-71.1225809,42.2576539,0.120625289346892,"South","West","1","1","1"
20.6,3.02529107579554,2.37857,1.21745254304956,0,18.1,"No",0.583,5.871,41.9,3.724,"24",666,20.2,370.73,13.34,-71.1160809,42.2636539,0.112122725305894,"South","West","1","1","1"
19.1,2.94968833505258,4.42228,1.69051639120382,0,18.1,"No",0.584,6.003,94.5,2.5403,"24",666,20.2,331.29,21.32,-71.0832414666667,42.2832583666667,0.0806048609751279,"South","East","1","1","1"
19.1,2.94968833505258,15.5757,2.8079377674577,0,18.1,"No",0.58,5.926,71,2.9084,"24",666,20.2,368.74,18.13,-71.0872414666667,42.2732583666667,0.0913493733575602,"South","East","1","1","1"
23.2,3.14415227867226,3.56868,1.51922432292115,0,18.1,"No",0.58,6.437,75,2.8965,"24",666,20.2,393.37,14.36,-71.0862414666667,42.2777583666667,0.0867623211969694,"South","East","1","1","1"
19.9,2.99071973173045,4.34879,1.67687036710373,0,18.1,"No",0.58,6.167,84,3.0334,"24",666,20.2,396.9,16.29,-71.0912414666667,42.2732583666667,0.0926684398603566,"South","East","1","1","1"
20.1,3.00071981506503,13.0751,2.64440727879625,0,18.1,"No",0.58,5.713,56.7,2.8237,"24",666,20.2,396.9,14.76,-71.0997414666667,42.2750583666667,0.0943403667550915,"South","West","1","1","1"
19.6,2.97552956623647,4.03841,1.61709055611972,0,18.1,"No",0.532,6.229,90.7,3.0993,"24",666,20.2,395.33,12.87,-71.1005414666667,42.2802583666667,0.0900483101423109,"South","West","1","1","1"
13.8,2.62466859216316,18.4982,2.97032215361678,0,18.1,"No",0.668,4.138,100,1.137,"24",666,20.2,396.9,37.97,-71.0538839,42.3657024,0.00751985006298972,"North","East","1","1","1"
13.8,2.62466859216316,11.1081,2.49387465012768,0,18.1,"No",0.668,4.906,100,1.1742,"24",666,20.2,396.9,34.77,-71.0545839,42.3637024,0.0056219218217537,"North","East","1","1","1"
8.3,2.11625551480255,15.8603,2.82496174600971,0,18.1,"No",0.679,5.896,95.4,1.9096,"24",666,20.2,7.68,24.39,-71.0788590105263,42.3184714842105,0.0461659552920102,"South","East","1","1","1"
8.4,2.12823170584927,11.8123,2.5504056470207,0,18.1,"No",0.718,6.824,76.5,1.794,"24",666,20.2,48.45,22.74,-71.0823590105263,42.3152714842105,0.0505956618966569,"South","East","1","1","1"
8.8,2.17475172148416,73.5341,4.31125673878533,0,18.1,"No",0.679,5.957,100,1.8026,"24",666,20.2,16.45,20.62,-71.0845590105263,42.3164714842105,0.0506145454507127,"South","East","1","1","1"
10.4,2.34180580614733,25.9406,3.29363444244913,0,18.1,"No",0.679,5.304,89.1,1.6475,"24",666,20.2,127.36,26.64,-71.0866590105263,42.3206714842105,0.0482200220112082,"South","East","1","1","1"
7.5,2.01490302054226,10.8342,2.470993644568,0,18.1,"No",0.679,6.782,90.8,1.8195,"24",666,20.2,21.57,25.79,-71.0893590105263,42.3188714842105,0.0512595536114461,"South","East","1","1","1"
7.2,1.97408102602201,18.0846,2.94888172710933,0,18.1,"No",0.679,6.434,100,1.8347,"24",666,20.2,27.25,29.05,-71.0954590105263,42.3198714842105,0.0543589434526395,"South","East","1","1","1"
7,1.94591014905531,45.7461,3.84473082979496,0,18.1,"No",0.693,4.519,100,1.6582,"24",666,20.2,88.27,36.98,-71.0986590105263,42.3189714842105,0.0572043156508091,"South","West","1","1","1"
13.4,2.59525470695687,7.05042,2.0857242639825,0,18.1,"No",0.614,6.103,85.1,2.0218,"24",666,20.2,2.52,23.29,-71.1018590105263,42.3217714842105,0.0575721435072913,"South","West","1","1","1"
10.2,2.32238772029023,12.2472,2.58378620934614,0,18.1,"No",0.584,5.837,59.7,1.9976,"24",666,20.2,24.65,15.69,-71.1033590105263,42.3169714842105,0.0619408789991095,"South","West","1","1","1"
20.8,3.03495298670727,12.0482,2.56865019322086,0,18.1,"No",0.614,5.648,87.6,1.9512,"24",666,20.2,291.55,14.1,-71.0987590105263,42.3147714842105,0.0603607079465867,"South","West","1","1","1"
11.7,2.45958884180371,8.79212,2.28157798059684,0,18.1,"No",0.584,5.565,70.6,2.0635,"24",666,20.2,3.65,17.16,-71.0958590105263,42.3119714842105,0.0606821430997773,"South","West","1","1","1"
10.9,2.3887627892351,37.6619,3.65485461897709,0,18.1,"No",0.679,6.202,78.7,1.8629,"24",666,20.2,18.82,14.52,-71.0945590105263,42.3166714842105,0.0561925352283769,"South","East","1","1","1"
16.7,2.81540871942271,11.0874,2.49216358773588,0,18.1,"No",0.718,6.411,100,1.8589,"24",666,20.2,318.75,15.02,-71.0926590105263,42.3136714842105,0.0574045108865998,"South","East","1","1","1"
11,2.39789527279837,7.36711,2.12430854411362,0,18.1,"No",0.679,6.193,78.1,1.9356,"24",666,20.2,96.73,21.52,-71.0910590105263,42.3160714842105,0.0545225839506461,"South","East","1","1","1"
9.5,2.2512917986065,9.33889,2.33591251322114,0,18.1,"No",0.679,6.38,95.6,1.9682,"24",666,20.2,60.72,24.08,-71.0889590105263,42.3139714842105,0.0550580065273023,"South","East","1","1","1"
14.5,2.67414864942653,8.49213,2.25046303422352,0,18.1,"No",0.584,6.348,86.1,2.0527,"24",666,20.2,83.45,17.64,-71.0853590105263,42.3119714842105,0.0549220654211907,"South","East","1","1","1"
14.1,2.64617479738412,10.0623,2.40354293107457,0,18.1,"No",0.584,6.833,94.3,2.0882,"24",666,20.2,81.33,19.69,-71.0915590105263,42.3089714842105,0.0606690703356523,"South","East","1","1","1"
16.1,2.77881927199042,6.44405,2.00741505557636,0,18.1,"No",0.584,6.425,74.8,2.2004,"24",666,20.2,97.95,12.03,-71.0873590105263,42.3079714842105,0.0593910552065723,"South","East","1","1","1"
14.2,2.65324196460721,7.02259,2.08226131238706,0,18.1,"No",0.718,6.006,95.3,1.8746,"24",666,20.2,319.98,15.7,-71.0888590105263,42.3053714842105,0.0623919285824285,"South","East","1","1","1"
10.8,2.37954613413017,12.8023,2.62483524494248,0,18.1,"No",0.74,5.854,96.6,1.8956,"24",666,20.2,240.52,23.79,-71.0580572,42.305863,0.0542435478268085,"South","East","1","1","1"
15.4,2.73436750941958,9.96654,2.39484881888454,0,18.1,"No",0.74,6.485,100,1.9784,"24",666,20.2,386.73,18.85,-71.0560572,42.308563,0.0516153454007575,"South","East","1","1","1"
11.8,2.46809953147162,10.6718,2.45717567604969,0,18.1,"No",0.74,6.459,94.8,1.9879,"24",666,20.2,43.06,23.98,-71.0545572,42.311063,0.049228927276947,"South","East","1","1","1"
18.4,2.91235066461494,5.66637,1.89707548389573,0,18.1,"No",0.74,6.219,100,2.0048,"24",666,20.2,395.69,16.59,-71.0540572,42.313663,0.046688838932221,"South","East","1","1","1"
14.9,2.70136121295141,6.28807,1.98623876474139,0,18.1,"No",0.74,6.341,96.4,2.072,"24",666,20.2,318.01,17.79,-71.0530572,42.316063,0.0444229184187558,"South","East","1","1","1"
15.2,2.72129542785223,5.44114,1.86270554308385,0,18.1,"No",0.713,6.655,98.2,2.3552,"24",666,20.2,355.29,17.73,-71.0530572,42.318163,0.0423420627844105,"South","East","1","1","1"
16.1,2.77881927199042,5.09017,1.80667599594632,0,18.1,"No",0.713,6.297,91.8,2.3682,"24",666,20.2,385.09,17.27,-71.0455572,42.318363,0.0438178899633307,"South","East","1","1","1"
17.8,2.87919845729804,8.24809,2.22441704371658,0,18.1,"No",0.713,7.393,99.3,2.4527,"24",666,20.2,375.87,16.74,-71.0406572,42.316863,0.0469280078507337,"South","East","1","1","1"
14.9,2.70136121295141,9.51363,2.35267251060436,0,18.1,"No",0.713,6.728,94.1,2.4961,"24",666,20.2,6.68,18.71,-71.0430572,42.309363,0.0531529630485326,"South","East","1","1","1"
13.4,2.59525470695687,6.71772,2.04351898362862,0,18.1,"No",0.713,6.749,92.6,2.3236,"24",666,20.2,0.32,17.44,-71.0425572,42.313363,0.0495119609876094,"South","East","1","1","1"
12.6,2.53369681395743,9.92485,2.39104001091028,0,18.1,"No",0.74,6.251,96.6,2.198,"24",666,20.2,388.52,16.44,-71.0463572,42.313563,0.0481976576281341,"South","East","1","1","1"
17.1,2.83907846350861,9.72418,2.37250100501465,0,18.1,"No",0.74,6.406,97.2,2.0651,"24",666,20.2,385.96,19.52,-71.0490572,42.316363,0.0448308585779833,"South","East","1","1","1"
14.1,2.64617479738412,4.75237,1.74961194380197,0,18.1,"No",0.713,6.525,86.5,2.4358,"24",666,20.2,50.92,18.13,-71.0510572,42.313363,0.0473904703589129,"South","East","1","1","1"
10.5,2.35137525716348,22.0511,3.13771349064672,0,18.1,"No",0.74,5.818,92.4,1.8662,"24",666,20.2,391.45,22.11,-71.0475572,42.311163,0.0502343416483094,"South","East","1","1","1"
12.8,2.54944517092557,9.39063,2.34090443849907,0,18.1,"No",0.74,5.627,93.9,1.8172,"24",666,20.2,396.9,22.88,-71.0455572,42.308363,0.0534298369905701,"South","East","1","1","1"
14.3,2.66025953726586,5.58107,1.88419734609877,0,18.1,"No",0.713,6.436,87.9,2.3158,"24",666,20.2,100.19,16.22,-71.0485572,42.306363,0.0547232919408046,"South","East","1","1","1"
